TrialCount	TrialType	ItiDuration	TactorDuration	TactorDelay	ResponseMaxDuration	StimMovementDuration	RT
145	Tactile	0.5	0.35	0.65	0.5	2.666667	1.141602
146	Tactile	0.5	0.35	0.975	0.5	2.666667	1.406586
147	Tactile	0.5	0.35	1.95	0.5	2.666667	2.325104
148	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.893311
149	Tactile	0.5	0.35	0.65	0.5	2.666667	null
150	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.199219
151	Visual	0.5	0.35	0.65	0.5	0	null
152	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	1.419739
153	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.751709
154	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	0.9464722
155	Tactile	0.5	0.35	0.325	0.5	2.666667	1.364258
156	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.241455
157	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	1.141296
158	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	1.030212
159	VisualCatch	0.5	0.35	1.95	0.5	2.666667	null
160	Tactile	0.5	0.35	0.975	0.5	2.666667	1.80957
161	Tactile	0.5	0.35	0.975	0.5	2.666667	1.573242
162	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.7651978
163	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	1.222168
164	Tactile	0.5	0.35	1.95	0.5	2.666667	null
165	Tactile	0.5	0.35	0.975	0.5	2.666667	1.684631
166	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.7793579
167	Tactile	0.5	0.35	0.325	0.5	2.666667	null
168	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.684448
169	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.865601
170	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.628479
171	VisualCatch	0.5	0.35	1.3	0.5	2.666667	null
172	Visual	0.5	0.35	0.975	0.5	2.666667	null
173	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.283386
174	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	1.224609
175	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	1.239441
176	Tactile	0.5	0.35	1.3	0.5	2.666667	null
177	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	0.9328613
178	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.294495
179	Visual	0.5	0.35	0.975	0.5	2.666667	null
180	Tactile	0.5	0.35	0.65	0.5	2.666667	1.015991
181	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.405884
182	VisualCatch	0.5	0.35	0.65	0.5	2.666666	null
183	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	0.9462891
184	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.560364
185	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.294739
186	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	0.9747925
187	Tactile	0.5	0.35	1.625	0.5	2.666667	1.976318
188	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.18573
189	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.879272
190	Tactile	0.5	0.35	0.975	0.5	2.666667	1.462158
191	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.559448
192	Tactile	0.5	0.35	1.95	0.5	2.666667	2.505981
193	VisualCatch	0.5	0.35	0.975	0.5	2.666667	2.017578
194	Tactile	0.5	0.35	1.3	0.5	2.666667	1.823792
195	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.865356
196	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.586975
197	Tactile	0.5	0.35	1.3	0.5	2.666667	1.823608
198	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.935181
199	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.7235107
200	VisuoTactile	0.5	0.35	1.3	0.5	2.666666	1.629578
201	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.280701
202	VisualCatch	0.5	0.35	0.975	0.5	2.666667	null
203	Visual	0.5	0.35	1.95	0.5	2.666667	null
204	Tactile	0.5	0.35	0.65	0.5	2.666667	1.127075
205	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.865967
