TrialCount,TrialType,ItiDuration,TactorDuration,TactorDelay,ResponseMaxDuration,StimMovementDuration,RT
137,Tactile,0.5,0.35,0.975,0.5,2.666667,1.308563
138,Visual,0.5,0.35,0.325,0.5,2.666667,null
139,VisualCatch,0.5,0.35,1.95,0.5,2.666667,null
140,VisualCatch,0.5,0.35,0.65,0.5,2.666667,null
141,Tactile,0.5,0.35,0.325,0.5,2.666667,0.6686096
142,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.614685
143,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.308228
144,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.572876
145,VisualCatch,0.5,0.35,1.95,0.5,2.666667,null
146,VisuoTactile,0.5,0.35,0.325,0.5,2.666666,0.6131592
147,Tactile,0.5,0.35,0.325,0.5,2.666667,0.668457
148,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.573456
149,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.199219
150,Tactile,0.5,0.35,1.95,0.5,2.666667,2.339478
151,VisuoTactile,0.5,0.35,0.65,0.5,0,null
152,Tactile,0.5,0.35,0.325,0.5,2.666667,0.8215332
153,Visual,0.5,0.35,0.325,0.5,2.666667,null
154,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,0.9328613
155,Tactile,0.5,0.35,1.3,0.5,2.666667,1.782288
156,Tactile,0.5,0.35,1.625,0.5,2.666667,1.977356
157,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.934143
158,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,1.00238
159,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,0.9192505
160,Visual,0.5,0.35,0.65,0.5,2.666667,null
161,Tactile,0.5,0.35,1.625,0.5,2.666667,1.991577
162,Tactile,0.5,0.35,1.3,0.5,2.666667,1.781738
163,VisualCatch,0.5,0.35,1.3,0.5,2.666667,null
164,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,0.6401367
165,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,0.9876099
166,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.199585
167,Visual,0.5,0.35,1.3,0.5,2.666667,null
168,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.89325
169,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.311096
170,VisualCatch,0.5,0.35,1.625,0.5,2.666667,null
